City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,santiago papasquiaro,25.046,-105.4208,24.88,21,0,2.42,MX,1728860314
193,cooma,-36.2333,149.1333,17.55,40,97,1.23,AU,1728860316
194,brisas de zicatela,15.8369,-97.0419,28.28,67,99,1.78,MX,1728860318
195,la passe,45.5549,-0.8967,18.13,83,34,3.55,FR,1728860319
196,maracaju,-21.6144,-55.1683,27.0,61,67,2.05,BR,1728860320
197,kristiansund,63.1115,7.732,4.51,93,75,0.51,NO,1728860321
198,errachidia,31.9275,-4.4285,19.03,77,20,4.63,MA,1728860322
199,colonia,50.9333,6.95,7.76,88,0,1.03,DE,1728860150
200,santa elena de uairen,4.6167,-61.1333,21.97,66,62,1.64,VE,1728860325
201,kolobrzeg,54.1757,15.5834,11.14,85,60,12.31,PL,1728860326
202,monteagudo,-19.8167,-63.9833,26.84,39,81,2.03,BO,1728860328
203,mendi,-6.1761,143.6513,14.94,95,100,0.69,PG,1728860329
204,polyarnyy,69.1989,33.4478,3.9,84,100,6.61,RU,1728860330
205,emerald,-23.5333,148.1667,22.18,58,100,6.32,AU,1728860331
206,imbituba,-28.24,-48.6703,17.74,82,64,4.91,BR,1728860333
207,elliot lake,46.3834,-82.6331,6.09,49,70,2.48,CA,1728860334
208,morris,40.8334,-74.5329,19.21,77,75,2.06,US,1728860187
209,quellon,-43.1167,-73.6167,9.95,89,97,2.24,CL,1728860336
210,nova sintra,14.8667,-24.7167,27.49,75,38,2.59,CV,1728860337
211,batang,-6.4846,110.7083,26.95,77,100,1.41,ID,1728860338
212,boende,-0.2167,20.8667,21.74,99,99,1.21,CD,1728860339
213,kodiak,57.79,-152.4072,8.73,81,100,7.2,US,1728860341
214,akureyri,65.6835,-18.0878,-12.04,92,0,2.06,IS,1728860342
215,badger,64.8,-147.5333,5.55,82,0,0.45,US,1728860343
216,corinto,37.9407,22.9573,19.94,84,12,0.85,GR,1728860344
217,hilo,19.7297,-155.09,28.94,73,40,5.14,US,1728860334
218,utrik,11.2278,169.8474,28.44,77,95,6.38,MH,1728860346
219,orchard homes,46.8633,-114.0484,22.55,37,0,1.54,US,1728860348
220,tazovsky,67.4667,78.7,1.7,85,83,11.34,RU,1728860349
221,soc trang,9.6033,105.98,25.75,90,100,1.97,VN,1728860350
222,berezovyy,51.6667,135.7,5.09,48,100,2.03,RU,1728860351
223,tralee,52.2704,-9.7026,9.26,98,94,2.04,IE,1728860352
224,port augusta,-32.5,137.7667,22.46,50,67,0.7,AU,1728860354
225,isheyevka,54.4167,48.2667,2.44,49,5,2.85,RU,1728860355
226,eirunepe,-6.6603,-69.8736,30.04,43,45,0.49,BR,1728860356
227,sassandra,4.95,-6.0833,22.79,92,100,2.84,CI,1728860357
228,tucuma,-0.1833,-50.05,27.47,74,99,5.73,BR,1728860358
229,ternate,0.8,127.4,27.71,76,17,1.17,ID,1728860359
230,charters towers,-20.1,146.2667,23.82,62,77,8.6,AU,1728860360
231,bhamo,24.2667,97.2333,21.4,94,20,0.53,MM,1728860362
232,luganville,-15.5333,167.1667,25.91,80,83,5.55,VU,1728860363
233,fort st. john,56.2499,-120.8529,20.94,35,75,6.17,CA,1728860364
234,tshikapa,-6.4167,20.8,22.66,77,93,1.1,CD,1728860365
235,ouesso,1.6136,16.0517,21.83,94,99,1.4,CG,1728860366
236,colby,39.3958,-101.0524,19.03,29,0,4.02,US,1728860367
237,kendari,-3.945,122.4989,25.53,89,70,0.63,ID,1728860369
238,karratha,-20.7377,116.8463,26.49,21,5,4.76,AU,1728860370
239,dryden,49.7833,-92.7503,5.16,81,100,3.09,CA,1728860371
240,dadhar,29.4753,67.6514,26.32,19,0,0.13,PK,1728860372
241,nagqu,31.5,92.0,-1.72,44,98,1.01,CN,1728860373
242,ibi,38.6253,-0.5723,20.33,80,77,2.67,ES,1728860374
243,beau vallon,-20.4189,57.6953,23.13,68,75,7.2,MU,1728860375
244,caleta de carquin,-11.0925,-77.6267,18.52,81,58,3.98,PE,1728860377
245,susuman,62.7833,148.1667,-9.16,96,99,0.94,RU,1728860378
246,wanning,18.8003,110.3967,25.27,90,40,3.04,CN,1728860379
247,nar'yan-mar,67.6713,53.087,1.24,94,70,6.43,RU,1728860380
248,vila franca do campo,37.7167,-25.4333,23.23,94,100,7.92,PT,1728860381
249,mukalla,14.5425,49.1242,27.74,61,63,0.77,YE,1728860382
250,laojunmiao,39.8333,97.7333,7.03,50,24,3.3,CN,1728860384
251,rifle,39.5347,-107.7831,25.77,10,99,0.89,US,1728860385
252,huarmey,-10.0681,-78.1522,18.4,83,78,3.73,PE,1728860386
253,betioky,-23.7167,44.3833,20.94,47,0,5.09,MG,1728860387
254,lautoka,-17.6167,177.4667,26.92,74,75,3.09,FJ,1728860388
255,misratah,32.3754,15.0925,23.57,71,4,2.9,LY,1728860389
256,newman,37.3138,-121.0208,27.25,50,0,2.68,US,1728860391
257,selfoss,63.9331,-20.9971,-0.53,43,71,4.83,IS,1728860393
258,moab,38.5733,-109.5498,29.72,18,100,4.75,US,1728860394
259,pitimbu,-7.4706,-34.8086,24.98,82,6,4.88,BR,1728860395
260,el calafate,-50.3408,-72.2768,8.44,75,54,3.83,AR,1728860396
261,elbasan,41.1125,20.0822,15.99,68,85,1.35,AL,1728860397
262,cadale,2.7603,46.3222,25.37,87,29,7.26,SO,1728860399
263,kaffrine,14.1059,-15.5508,25.54,74,42,3.35,SN,1728860400
264,cabo san lucas,22.8909,-109.9124,28.05,68,0,4.28,MX,1728860279
265,santiago,-33.4569,-70.6483,22.69,49,75,5.14,CL,1728859888
266,pacific grove,36.6177,-121.9166,21.34,93,75,3.6,US,1728860404
267,kavaratti,10.5669,72.642,26.53,83,95,2.78,IN,1728860406
268,zhob,31.3411,69.4481,19.39,28,0,0.59,PK,1728860407
269,crane,31.3974,-102.3501,32.88,11,2,7.1,US,1728860408
270,lashio,22.9333,97.75,17.65,99,64,0.49,MM,1728860409
271,mejit,10.2753,170.8646,28.58,77,54,6.77,MH,1728860411
272,port alfred,-33.5906,26.891,16.77,96,99,2.68,ZA,1728860413
273,punta arenas,-53.15,-70.9167,10.62,62,75,7.2,CL,1728860330
274,sandnessjoen,66.0217,12.6316,5.09,97,100,8.34,NO,1728860415
275,princeville,45.7668,-61.2985,10.39,79,0,5.14,CA,1728860417
276,asau,46.4333,26.4,9.76,71,100,3.08,RO,1728860418
277,santa terezinha,-29.9002,-50.0904,19.02,81,19,10.94,BR,1728860419
278,udachny,66.4167,112.4,-20.03,100,93,2.58,RU,1728860420
279,negara,-8.3151,114.6025,25.02,88,84,1.49,ID,1728860421
280,port blair,11.6667,92.75,26.02,94,75,2.06,IN,1728860422
281,korla,41.7597,86.1469,15.3,41,48,5.7,CN,1728860423
282,djibouti,11.5,42.5,26.82,64,7,2.93,DJ,1728860425
283,guarapuava,-25.3953,-51.4581,17.05,81,60,2.6,BR,1728860426
284,south hill,47.1412,-122.2701,23.27,57,0,2.06,US,1728860427
285,illizi,26.4833,8.4667,32.35,18,57,1.85,DZ,1728860428
286,pyriatyn,50.2445,32.5107,9.4,96,98,2.58,UA,1728860429
287,changleng,28.7,115.8167,20.6,71,50,2.48,CN,1728860431
288,constantia,44.1833,28.65,11.5,68,98,4.48,RO,1728860432
289,colgong,25.2667,87.2167,22.75,72,52,1.05,IN,1728860433
290,tagiura,32.8817,13.3506,23.7,73,2,5.0,LY,1728860434
291,nuuk,64.1835,-51.7216,1.34,86,75,3.09,GL,1728860144
292,pesqueira,-8.3578,-36.6964,20.55,72,1,5.88,BR,1728860437
293,juan griego,11.0817,-63.9655,32.07,62,32,7.2,VE,1728860438
294,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.06,GF,1728860439
295,taltal,-25.4,-70.4833,17.27,75,28,2.59,CL,1728860441
296,tangalle,6.024,80.7911,24.36,90,100,5.35,LK,1728860444
297,san patricio,28.017,-97.5169,30.66,41,0,5.45,US,1728860445
298,augusta,48.3667,10.8833,8.39,93,100,0.51,DE,1728860446
299,urzhar,47.093,81.6294,10.69,74,100,1.49,KZ,1728860447
300,ancud,-41.8697,-73.8203,10.23,86,56,2.82,CL,1728860448
301,darfo boario terme,45.8835,10.1807,16.06,86,63,2.15,IT,1728860449
302,carnarvon,-24.8667,113.6333,18.76,73,0,5.74,AU,1728860451
303,lorengau,-2.0226,147.2712,30.15,64,95,4.38,PG,1728860453
304,adalaj,23.1667,72.5833,25.92,89,40,4.12,IN,1728860454
